,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
166,438,E E,FUNDMNTLS ELEC CIRCUITS I LAB,MW|TH,5:00 p.m.-6:30 p.m.|12:30 p.m.-3:30 p.m.,"AKINWANDE, D",EER 1.518|EER 1.828,waitlisted; restricted,15595
167,,,,,,,,,
168,438,E E,FUNDMNTLS ELEC CIRCUITS I LAB,MW|F,5:00 p.m.-6:30 p.m.|1:00 p.m.-4:00 p.m.,"AKINWANDE, D",EER 1.518|EER 1.828,waitlisted; restricted,15600
169,438,E E,FUNDMNTLS ELEC CIRCUITS I LAB,MW|TH,5:00 p.m.-6:30 p.m.|3:30 p.m.-6:30 p.m.,"AKINWANDE, D",EER 1.518|EER 1.828,closed,15605
170,438K,E E,ANALOG ELECTRONICS,TTH|W,2:00 p.m.-3:30 p.m.|6:30 p.m.-9:30 p.m.,"BECKER, M",ECJ 1.306|EER 1.828,open; restricted,15610
171,438K,E E,ANALOG ELECTRONICS,TTH|TH,2:00 p.m.-3:30 p.m.|6:30 p.m.-9:30 p.m.,"BECKER, M",ECJ 1.306|EER 1.828,open; restricted,15615
172,338L,E E,ANALOG INTEGRATED CIRCUIT DSGN,TTH,3:30 p.m.-5:00 p.m.,"SUN, N",ECJ 1.314,open; restricted,15620
173,339,E E,SOLID-STATE ELECTRONIC DEVICES,MW,9:00 a.m.-10:30 a.m.,"BANERJEE, S",ECJ 1.308,waitlisted; restricted,15625
174,440,E E,INTEG CIRC NANOMANUFAC TECHNQS,MW|T,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"BANERJEE, S",EER 1.512|EER 0.744,waitlisted; restricted,15630
175,440,E E,INTEG CIRC NANOMANUFAC TECHNQS,MW|TH,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"BANERJEE, S",EER 1.512|EER 0.744,waitlisted; restricted,15635
176,440,E E,INTEG CIRC NANOMANUFAC TECHNQS,MW|W,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"BANERJEE, S",EER 1.512|EER 0.744,waitlisted; restricted,15637
177,440,E E,INTEG CIRC NANOMANUFAC TECHNQS,MW|TH,10:30 a.m.-12:00 p.m.|3:30 p.m.-6:30 p.m.,"BANERJEE, S",EER 1.512|EER 0.744,open; restricted,15639
178,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|9:30 a.m.-11:00 a.m.,"VALVANO, J",BUR 212|EER 1.806,open; restricted,15640
179,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|11:00 a.m.-12:30 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15645
180,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|MW,3:30 p.m.-5:00 p.m.|12:00 p.m.-1:30 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15650
181,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|12:30 p.m.-2:00 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15655
182,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|MW,3:30 p.m.-5:00 p.m.|3:30 p.m.-5:00 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15660
183,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|MW,3:30 p.m.-5:00 p.m.|5:00 p.m.-6:30 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15665
184,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|5:00 p.m.-6:30 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15670
185,445L,E E,EMBEDDED SYSTEMS DESIGN LAB,TTH|MW,3:30 p.m.-5:00 p.m.|8:00 p.m.-9:30 p.m.,"VALVANO, J",BUR 212|EER 1.806,waitlisted; restricted,15672
186,445M,E E,EMBEDDED AND REAL-TIME SYS LAB,TTH|MW,3:30 p.m.-5:00 p.m.|10:30 a.m.-12:00 p.m.,"GERSTLAUER, A",BUR 216|EER 1.806,waitlisted; restricted,15675
187,445M,E E,EMBEDDED AND REAL-TIME SYS LAB,TTH|MW,3:30 p.m.-5:00 p.m.|1:30 p.m.-3:00 p.m.,"GERSTLAUER, A",BUR 216|EER 1.806,waitlisted; restricted,15680
188,445M,E E,EMBEDDED AND REAL-TIME SYS LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|2:00 p.m.-3:30 p.m.,"GERSTLAUER, A",BUR 216|EER 1.806,waitlisted; restricted,15685
189,445M,E E,EMBEDDED AND REAL-TIME SYS LAB,TTH|MW,3:30 p.m.-5:00 p.m.|6:30 p.m.-8:00 p.m.,"GERSTLAUER, A",BUR 216|EER 1.806,open; restricted,15690
190,445M,E E,EMBEDDED AND REAL-TIME SYS LAB,TTH|TTH,3:30 p.m.-5:00 p.m.|6:30 p.m.-8:00 p.m.,"GERSTLAUER, A",BUR 216|EER 1.806,open; restricted,15695
191,445S,E E,REAL-TIME DIGITAL SIG PROC LAB,MWF|F,11:00 a.m.-12:00 p.m.|1:00 p.m.-4:00 p.m.,"EVANS, B",ECJ 1.308|EER 1.810,waitlisted; restricted,15700
192,445S,E E,REAL-TIME DIGITAL SIG PROC LAB,MWF|M,11:00 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"EVANS, B",ECJ 1.308|EER 1.810,open; restricted,15705
193,445S,E E,REAL-TIME DIGITAL SIG PROC LAB,MWF|T,11:00 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"EVANS, B",ECJ 1.308|EER 1.810,open; restricted,15710
194,445S,E E,REAL-TIME DIGITAL SIG PROC LAB,MWF|W,11:00 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"EVANS, B",ECJ 1.308|EER 1.810,open; restricted,15715
195,347,E E,MODERN OPTICS,MW,10:30 a.m.-12:00 p.m.,"CHEN, R",ECJ 1.306,open; restricted,15720
196,348,E E,LASER AND OPTICAL ENGINEERING,MW,9:00 a.m.-10:30 a.m.,"BANK, S",ECJ 1.306,open; restricted,15725
197,351K,E E,PROBABILITY/RANDOM PROCESSES,MW,9:00 a.m.-10:30 a.m.,"SANGHAVI, S",UTC 4.134,waitlisted; restricted,15730
198,,,,,,,,,
199,351K,E E,PROBABILITY/RANDOM PROCESSES,TTH,9:30 a.m.-11:00 a.m.,"ARAPOSTATHIS, A",BUR 216,open; restricted,15735
200,351K,E E,PROBABILITY/RANDOM PROCESSES,TTH,3:30 p.m.-5:00 p.m.,"BACCELLI, F",BUR 116,waitlisted; restricted,15740
201,351M,E E,DIGITAL SIGNAL PROCESSING,TTH,2:00 p.m.-3:30 p.m.,"VIKALO, H",EER 1.518,open; restricted,15745
202,160,E E,SPEC PROBS IN ELEC & COMP ENGR,,,,,open; restricted,15750
203,260,E E,SPEC PROBS IN ELEC & COMP ENGR,,,,,open; restricted,15755
204,360,E E,SPEC PROBS IN ELEC & COMP ENGR,,,,,open; restricted,15760
205,460,E E,SPEC PROBS IN ELEC & COMP ENGR,,,,,open; restricted,15765
206,360C,E E,ALGORITHMS,TTH,9:30 a.m.-11:00 a.m.,"NANDAKUMAR, V",CPE 2.208,open; restricted,15770
207,360C,E E,ALGORITHMS,TTH,12:30 p.m.-2:00 p.m.,"JULIEN, C",BUR 116,closed,15775
208,460M,E E,DIGITAL SYSTEMS DSGN USING HDL,TTH|F,11:00 a.m.-12:30 p.m.|1:00 p.m.-4:00 p.m.,"TOUBA, N",PAR 301|EER 0.724,waitlisted; restricted,15780
209,460M,E E,DIGITAL SYSTEMS DSGN USING HDL,TTH|TH,11:00 a.m.-12:30 p.m.|2:00 p.m.-5:00 p.m.,"TOUBA, N",PAR 301|EER 0.724,waitlisted; restricted,15785
210,460M,E E,DIGITAL SYSTEMS DSGN USING HDL,TTH|TH,11:00 a.m.-12:30 p.m.|6:30 p.m.-9:30 p.m.,"TOUBA, N",PAR 301|EER 0.724,waitlisted; restricted,15790
211,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|9:00 a.m.-10:30 a.m.,"EREZ, M",EER 1.516|EER 1.512,waitlisted; restricted,15795
212,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|10:30 a.m.-12:00 p.m.,"EREZ, M",EER 1.516|EER 1.512,waitlisted; restricted,15800
213,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|12:00 p.m.-1:30 p.m.,"EREZ, M",EER 1.516|EER 1.512,waitlisted; restricted,15805
214,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|1:30 p.m.-3:00 p.m.,"EREZ, M",EER 1.516|EER 1.512,waitlisted; restricted,15810
215,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|3:00 p.m.-4:30 p.m.,"EREZ, M",EER 1.516| ,cancelled,15815
216,460N,E E,COMPUTER ARCHITECTURE,TTH|TH,2:00 p.m.-3:30 p.m.|6:30 p.m.-8:00 p.m.,"EREZ, M",EER 1.516| ,cancelled,15820
217,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|4:30 p.m.-6:00 p.m.,"EREZ, M",EER 1.516|EER 1.512,open; restricted,15822
218,460N,E E,COMPUTER ARCHITECTURE,TTH|F,2:00 p.m.-3:30 p.m.|3:00 p.m.-4:30 p.m.,"EREZ, M",EER 1.516|EER 1.512,open; restricted,15824
219,360P,E E,CONCURRENT AND DISTRIBUTED SYS,TTH,11:00 a.m.-12:30 p.m.,"GARG, V",CPE 2.208,closed,15825
220,360T,E E,SOFTWARE TESTING,MW,9:00 a.m.-10:30 a.m.,"KHURSHID, S",EER 1.518,closed,15830
221,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|T,11:00 a.m.-12:30 p.m.|12:30 p.m.-3:30 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,closed,15835
222,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|W,11:00 a.m.-12:30 p.m.|3:00 p.m.-6:00 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,closed,15840
223,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|T,11:00 a.m.-12:30 p.m.|3:30 p.m.-6:30 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,waitlisted; restricted,15845
224,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|T,11:00 a.m.-12:30 p.m.|6:30 p.m.-9:30 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,waitlisted; restricted,15850
225,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|T,2:00 p.m.-3:30 p.m.|9:30 a.m.-12:30 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,closed,15855
226,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|F,2:00 p.m.-3:30 p.m.|3:00 p.m.-6:00 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,waitlisted; restricted,15860
227,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|M,2:00 p.m.-3:30 p.m.|5:00 p.m.-8:00 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,open; restricted,15865
228,461L,E E,SOFTWARE ENGR AND DESIGN LAB,TTH|W,2:00 p.m.-3:30 p.m.|6:30 p.m.-9:30 p.m.,"EBERLEIN, M",CPE 2.212|EER 0.818,waitlisted; restricted,15870
229,,,,,,,,,
230,362K,E E,INTRO TO AUTOMATIC CONTROL,TTH,9:30 a.m.-11:00 a.m.,"CUEVAS, A",RLM 5.104,open; restricted,15875
231,462L,E E,POWER ELECTRONICS LABORATORY,TTH|F,12:30 p.m.-2:00 p.m.|9:00 a.m.-12:00 p.m.,"FLYNN, M",ECJ 1.306|EER 1.808,open; restricted,15880
232,462L,E E,POWER ELECTRONICS LABORATORY,TTH|W,12:30 p.m.-2:00 p.m.|6:30 p.m.-9:30 p.m.,"FLYNN, M",ECJ 1.306|EER 1.808,open; restricted,15885
233,363M,E E,MICROWAVE AND RADIO FREQ ENGR,MW,10:30 a.m.-12:00 p.m.,"NEIKIRK, D",ECJ 1.222,open; restricted,15890
234,364D,E E,INTRO TO ENGINEERING DESIGN,MW|M,12:00 p.m.-1:00 p.m.|6:30 p.m.-9:30 p.m.,"HALLOCK, G",ETC 2.108|EER 1.814,open; restricted,15895
235,464H,E E,HONORS SENIOR DESIGN PROJECT,MW|MW,3:00 p.m.-4:30 p.m.|12:00 p.m.-3:00 p.m.,"HALLOCK, G",BEL 328|EER 1.814,open; restricted,15900
236,464K,E E,SENIOR DESIGN PROJECT,MW|MW,3:00 p.m.-4:30 p.m.|12:00 p.m.-3:00 p.m.,"HALLOCK, G",BEL 328|EER 1.814,waitlisted; restricted,15905
237,464R,E E,RESEARCH SENIOR DESIGN PROJECT,MW|MW,3:00 p.m.-4:30 p.m.|12:00 p.m.-3:00 p.m.,"HALLOCK, G",BEL 328|EER 1.814,open; restricted,15910
238,464S,E E,START-UP SENIOR DESIGN PROJECT,MW|MW,3:00 p.m.-4:30 p.m.|12:00 p.m.-3:00 p.m.,"MCDERMOTT, M",BEL 328| ,closed,15915
239,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|TH,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,open; restricted,15920
240,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|T,10:30 a.m.-12:00 p.m.|3:30 p.m.-6:30 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,waitlisted; restricted,15925
241,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|W,10:30 a.m.-12:00 p.m.|5:00 p.m.-8:00 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,open; restricted,15930
242,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|M,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,waitlisted; restricted,15935
243,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|T,10:30 a.m.-12:00 p.m.|6:30 p.m.-9:30 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,waitlisted; restricted,15940
244,368L,E E,POWER SYSTEMS APPARATUS & LAB,MW|TH,10:30 a.m.-12:00 p.m.|3:30 p.m.-6:30 p.m.,"SANTOSO, S",EER 1.516|EER 1.832,open; restricted,15944
245,679HA,E E,UNDERGRADUATE HONORS THESIS,,,,,open; restricted,15945
246,679HB,E E,UNDERGRADUATE HONORS THESIS,,,,,open; restricted,15950
247,379K,E E,HIGH THROUGHPUT NANOPATTERNING,TTH,5:00 p.m.-6:30 p.m.,"SREENIVASAN, S",ETC 2.114,open; restricted,15955
248,379K,E E,SMART GRIDS,TTH,2:00 p.m.-3:30 p.m.,"BALDICK, R", ,cancelled,15960
249,379K,E E,INFORMATION SECURITY & PRIVACY,MW,10:30 a.m.-12:00 p.m.,"BARBER, K",EER 1.518,closed,15965
250,379K,E E,24-DATA SCIENCE LABORATORY,TTH|F,12:30 p.m.-2:00 p.m.|9:00 a.m.-12:00 p.m.,"CARAMANIS, C",ECJ 1.214|EER 0.818,open; restricted,15970
251,379K,E E,24-DATA SCIENCE LABORATORY,TTH|F,12:30 p.m.-2:00 p.m.|12:00 p.m.-3:00 p.m.,"CARAMANIS, C",ECJ 1.214|EER 0.818,waitlisted; restricted,15975
252,379K,E E,24-DATA SCIENCE LABORATORY,TTH|TH,12:30 p.m.-2:00 p.m.|3:30 p.m.-6:30 p.m.,"CARAMANIS, C",ECJ 1.214|EER 0.818,waitlisted; restricted,15980
253,379K,E E,24-DATA SCIENCE LABORATORY,TTH|TH,12:30 p.m.-2:00 p.m.|6:30 p.m.-9:30 p.m.,"CARAMANIS, C",ECJ 1.214|EER 0.818,waitlisted; restricted,15985
254,379K,E E,24-DATA SCIENCE LABORATORY,TTH|TH,12:30 p.m.-2:00 p.m.|3:30 p.m.-6:30 p.m.,"CARAMANIS, C",ECJ 1.214|EER 1.512,waitlisted; restricted,15988
255,379K,E E,24-DATA SCIENCE LABORATORY,TTH|TH,12:30 p.m.-2:00 p.m.|9:00 a.m.-12:00 p.m.,"CARAMANIS, C",ECJ 1.214|EER 0.818,open; restricted,15989
256,,,,,,,,,
257,302,M E,INTRO TO ENGR DSGN & GRAPH-GER,,,"KRUEGER, T",,open; restricted,16655
258,302,M E,INTRO TO ENGR DSGN & GRAPH-IRE,,,"WOOD, B",,open; restricted,16660
259,302,M E,INTRO TO ENGR DSGN & GRAPHICS,MW|M,9:00 a.m.-11:00 a.m.|3:00 p.m.-4:00 p.m.,"KRUEGER, T",ETC 3.142|ETC 2.136,open; restricted,16665
260,302,M E,INTRO TO ENGR DSGN & GRAPHICS,MW|M,11:00 a.m.-1:00 p.m.|3:00 p.m.-4:00 p.m.,"WOOD, B",ETC 3.142|ETC 2.136,open; restricted,16670
261,302,M E,INTRO TO ENGR DSGN & GRAPHICS,TTH|M,11:00 a.m.-1:00 p.m.|3:00 p.m.-4:00 p.m.,"WOOD, B",ETC 3.142|ETC 2.136,open; restricted,16675
262,302,M E,INTRO TO ENGR DSGN & GRAPHICS,MW|M,1:00 p.m.-3:00 p.m.|4:00 p.m.-5:00 p.m.,"KRUEGER, T",ETC 3.142|CPE 2.220,waitlisted; restricted,16680
263,302,M E,INTRO TO ENGR DSGN & GRAPHICS,TTH|M,1:00 p.m.-3:00 p.m.|3:00 p.m.-4:00 p.m.,"WOOD, B",ETC 3.142|ETC 2.136,open; restricted,16685
264,302,M E,INTRO TO ENGR DSGN & GRAPHICS,TTH|M,3:00 p.m.-5:00 p.m.|4:00 p.m.-5:00 p.m.,"BARR, R",ETC 3.142|CPE 2.220,open; restricted,16690
265,302,M E,INTRO TO ENGR DSGN & GRAPHICS,MW|M,5:00 p.m.-7:00 p.m.|4:00 p.m.-5:00 p.m.,"BARR, R",ETC 3.142|CPE 2.220,open; restricted,16695
266,103,M E,STDS IN ENGR DESIGN GRAPHICS,M,3:00 p.m.-4:00 p.m.,"WOOD, B",ETC 2.136,open; restricted,16700
267,103,M E,STDS IN ENGR DESIGN GRAPHICS,M,4:00 p.m.-5:00 p.m.,"WOOD, B",CPE 2.220,open; restricted,16705
268,210,M E,ENGINEERING DESIGN GRAPHICS,MW,9:00 a.m.-11:00 a.m.,"KRUEGER, T",ETC 3.142,waitlisted; restricted,16710
269,210,M E,ENGINEERING DESIGN GRAPHICS,MW,11:00 a.m.-1:00 p.m.,"WOOD, B",ETC 3.142,waitlisted; restricted,16715
270,210,M E,ENGINEERING DESIGN GRAPHICS,TTH,11:00 a.m.-1:00 p.m.,"WOOD, B",ETC 3.142,waitlisted; restricted,16720
271,210,M E,ENGINEERING DESIGN GRAPHICS,MW,1:00 p.m.-3:00 p.m.,"KRUEGER, T",ETC 3.142,waitlisted; restricted,16725
272,210,M E,ENGINEERING DESIGN GRAPHICS,TTH,1:00 p.m.-3:00 p.m.,"WOOD, B",ETC 3.142,waitlisted; restricted,16730
273,210,M E,ENGINEERING DESIGN GRAPHICS,TTH,3:00 p.m.-5:00 p.m.,"BARR, R",ETC 3.142,waitlisted; restricted,16735
274,210,M E,ENGINEERING DESIGN GRAPHICS,MW,5:00 p.m.-7:00 p.m.,"BARR, R",ETC 3.142,waitlisted; restricted,16740
275,210,M E,ENGR DESIGN GRAPHICS-C E MAJ,TTH,9:00 a.m.-11:00 a.m.,"KRUEGER, T",ETC 3.142,open; restricted,16745
276,210,M E,ENGR DESIGN GRAPHICS-C E MAJ,MW,3:00 p.m.-5:00 p.m.,"KRUEGER, T",ETC 3.142,open; restricted,16750
277,310T,M E,APPLIED THERMODYNAMICS,MWF,2:00 p.m.-3:00 p.m.,"MATTHEWS, R",ETC 2.108,waitlisted; restricted,16755
278,314D,M E,DYNAMICS,MWF|F,9:00 a.m.-10:00 a.m.|1:00 p.m.-2:00 p.m.,"TAO, H",ETC 2.108|ETC 5.132,waitlisted; restricted,16760
279,314D,M E,DYNAMICS,MWF|F,9:00 a.m.-10:00 a.m.|1:00 p.m.-2:00 p.m.,"TAO, H",ETC 2.108|ETC 7.146,waitlisted; restricted,16765
280,314D,M E,DYNAMICS,MWF|F,9:00 a.m.-10:00 a.m.|2:00 p.m.-3:00 p.m.,"TAO, H",ETC 2.108|ETC 7.146,waitlisted; restricted,16770
281,314D,M E,DYNAMICS,MWF|F,9:00 a.m.-10:00 a.m.|3:00 p.m.-4:00 p.m.,"TAO, H",ETC 2.108|ETC 7.146,open; restricted,16775
282,314D,M E,DYNAMICS,TTH|F,11:00 a.m.-12:30 p.m.|9:00 a.m.-10:00 a.m.,"SAGERS, J",ETC 2.136|ETC 7.146,waitlisted; restricted,16780
283,314D,M E,DYNAMICS,TTH|F,11:00 a.m.-12:30 p.m.|10:00 a.m.-11:00 a.m.,"SAGERS, J",ETC 2.136|ETC 7.146,waitlisted; restricted,16785
284,314D,M E,DYNAMICS,TTH|F,11:00 a.m.-12:30 p.m.|11:00 a.m.-12:00 p.m.,"SAGERS, J",ETC 2.136|ETC 7.146,waitlisted; restricted,16790
285,314D,M E,DYNAMICS,TTH|F,11:00 a.m.-12:30 p.m.|12:00 p.m.-1:00 p.m.,"SAGERS, J",ETC 2.136|ETC 7.146,waitlisted; restricted,16795
286,314D,M E,DYNAMICS-FRA,,,"CONNOLLY, T",,open; restricted,16800
287,,,,,,,,,
288,316T,M E,THERMODYNAMICS,MWF|W,11:00 a.m.-12:00 p.m.|4:00 p.m.-5:00 p.m.,"HALL, M",ETC 2.108|ETC 4.150,waitlisted; restricted,16805
289,316T,M E,THERMODYNAMICS,MWF|W,11:00 a.m.-12:00 p.m.|4:00 p.m.-5:00 p.m.,"HALL, M",ETC 2.108|ETC 5.132,waitlisted; restricted,16810
290,316T,M E,THERMODYNAMICS,MWF|W,11:00 a.m.-12:00 p.m.|5:00 p.m.-6:00 p.m.,"HALL, M",ETC 2.108|ETC 4.150,waitlisted; restricted,16815
291,316T,M E,THERMODYNAMICS,MWF|W,11:00 a.m.-12:00 p.m.|5:00 p.m.-6:00 p.m.,"HALL, M",ETC 2.108|ETC 5.132,waitlisted; restricted,16820
292,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|T,12:30 p.m.-2:00 p.m.|2:00 p.m.-3:30 p.m.,"BRYANT, M",CLA 0.128|ETC 2.140,waitlisted; restricted,16825
293,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|T,12:30 p.m.-2:00 p.m.|3:30 p.m.-5:00 p.m.,"BRYANT, M",CLA 0.128|ETC 2.140,waitlisted; restricted,16830
294,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|T,12:30 p.m.-2:00 p.m.|5:00 p.m.-6:30 p.m.,"BRYANT, M",CLA 0.128|ETC 2.140,open; restricted,16835
295,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|T,12:30 p.m.-2:00 p.m.|6:30 p.m.-8:00 p.m.,"BRYANT, M",CLA 0.128|ETC 2.140,waitlisted; restricted,16840
296,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|M,3:30 p.m.-5:00 p.m.|2:00 p.m.-3:30 p.m.,,CPE 2.214|ETC 2.140,waitlisted; restricted,16845
297,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|M,3:30 p.m.-5:00 p.m.|3:30 p.m.-5:00 p.m.,,CPE 2.214|ETC 2.140,waitlisted; restricted,16850
298,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|M,3:30 p.m.-5:00 p.m.|5:00 p.m.-6:30 p.m.,,CPE 2.214|ETC 2.140,waitlisted; restricted,16855
299,318M,M E,PROGRAM & ENGR COMP METHODS,TTH|M,3:30 p.m.-5:00 p.m.|6:30 p.m.-8:00 p.m.,,CPE 2.214|ETC 2.140,waitlisted; restricted,16860
300,318M,M E,PROGRAM/ENGR COMP MTHDS-CRO,,,"PRODANOVIC, M",,open; restricted,16863
301,,,,,,,,,
302,325LX,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16865
303,325LY,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16870
304,325LZ,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16875
305,225MA,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16880
306,225MB,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16885
307,125N,M E,COOPERATIVE ENGINEERING,,,,,open; restricted,16890
308,329S,M E,INTL PERSPTS ON BME DESIGN-POR,,,"MARKEY, M",,open,16893
309,329S,M E,TRANSPRT PHENOM LIVING SYS-GBR,,,"TUNNELL, J",,open,16894
310,330,M E,FLUID MECHANICS,TTH,9:30 a.m.-11:00 a.m.,,ETC 2.108,open; restricted,16895
311,330,M E,FLUID MECHANICS,TTH,2:00 p.m.-3:30 p.m.,,UTC 3.124,open; restricted,16900
312,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|8:00 a.m.-10:00 a.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16905
313,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|8:00 a.m.-10:00 a.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16910
314,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|8:00 a.m.-10:00 a.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16915
315,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|10:00 a.m.-12:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,waitlisted; restricted,16920
316,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|10:00 a.m.-12:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16925
317,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|10:00 a.m.-12:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,waitlisted; restricted,16930
318,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|12:00 p.m.-2:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,waitlisted; restricted,16935
319,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|12:00 p.m.-2:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16940
320,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|12:00 p.m.-2:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16945
321,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|W,5:00 p.m.-6:00 p.m.|2:00 p.m.-4:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,waitlisted; restricted,16950
322,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|TH,5:00 p.m.-6:00 p.m.|2:00 p.m.-4:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16955
323,130L,M E,EXPERIMENTAL FLUID MECHANICS,T|F,5:00 p.m.-6:00 p.m.|2:00 p.m.-4:00 p.m.,"BEN-YAKAR, A",PAI 3.02|ETC 1.204,open; restricted,16960
