,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
40,349,BME,BIOMEDICAL INSTRUMENTATION,MWF,1:00 p.m.-2:00 p.m.,"XIE, C",GEA 105,open; restricted,13400
41,352,BME,ENGINEERING BIOMATERIALS,MWF,10:00 a.m.-11:00 a.m.,"ZOLDAN, J",CPE 2.218,open; restricted,13405
42,353,BME,TRANSPORT PHENOM IN LIVING SYS,TTH,9:30 a.m.-11:00 a.m.,"BAKER, A",BUR 108,open; restricted,13410
43,353,BME,TRANSPRT PHENOM LIVING SYS-GBR,,,"TUNNELL, J",,open; restricted,13415
44,355,BME,MOLECULAR ENGINEERING,MWF,9:00 a.m.-10:00 a.m.,"REN, P",GEA 105,open; restricted,13420
45,359,BME,CELL AND MOLEC BIOMECHANICS,TTH,8:00 a.m.-9:30 a.m.,"BAKER, A",GEA 127,open; restricted,13425
46,261L,BME,DEVEL AND ANLY IN BME DESIGN,M|M,12:00 p.m.-1:00 p.m.|2:00 p.m.-5:00 p.m.,"PUPERI, D",WRW 102|BME 3.310,closed,13430
47,261L,BME,DEVEL AND ANLY IN BME DESIGN,M|T,12:00 p.m.-1:00 p.m.|2:00 p.m.-5:00 p.m.,"PUPERI, D",WRW 102|BME 3.310,open; restricted,13435
48,261L,BME,DEVEL AND ANLY IN BME DESIGN,M|W,12:00 p.m.-1:00 p.m.|2:00 p.m.-5:00 p.m.,"PUPERI, D",WRW 102|BME 3.310,closed,13440
49,261L,BME,DEVEL AND ANLY IN BME DESIGN,M|TH,12:00 p.m.-1:00 p.m.|2:00 p.m.-5:00 p.m.,"PUPERI, D",WRW 102|BME 3.310,closed,13445
50,261L,BME,DEVEL AND ANLY IN BME DESIGN,M|F,12:00 p.m.-1:00 p.m.|2:00 p.m.-5:00 p.m.,"PUPERI, D",WRW 102|BME 3.310,closed,13450
51,362E,BME,MEDICAL DEVICE INNOVATION,W,2:00 p.m.-3:00 p.m.,"MILNER, T",GDC 2.402,open; restricted,13455
52,,,,,,,,,
53,365S,BME,QUANTITATIVE ENGR PHYSIOL II,TTH,11:00 a.m.-12:30 p.m.,"KIM, H",CLA 0.126,open; restricted,13460
54,366,BME,IMMUNE ENGINEERING,TTH,11:00 a.m.-12:30 p.m.,"JIANG, N",BIO 301,waitlisted; restricted,13465
55,371,BME,BME CAPSTONE DESIGN II,MWF,3:00 p.m.-4:00 p.m.,"TUNNELL, J",PHR 2.110,open; restricted,13470
56,374L,BME,APPLICATNS BIOMED INSTRUM LAB,TTH|TTH,12:30 p.m.-2:00 p.m.|2:00 p.m.-5:00 p.m.,"RYLANDER, H",GDC 2.502|BME 1.338,open; restricted,13475
57,177,BME,UNDERGRADUATE RESEARCH PROJECT,,,,,open; restricted,13480
58,277,BME,UNDERGRADUATE RESEARCH PROJECT,,,,,open; restricted,13485
59,377,BME,UNDERGRADUATE RESEARCH PROJECT,,,,,open; restricted,13490
60,377M,BME,MEDICAL INTERNSHIP,,,,,open; restricted,13495
61,377R,BME,RESEARCH INTERNSHIP,,,,,open; restricted,13500
62,377S,BME,INDUSTRIAL INTERNSHIP,,,,,open; restricted,13505
63,377T,BME,CANCER BIOENGINEERING,TTH,12:30 p.m.-2:00 p.m.,"BROCK, A",BIO 301,waitlisted; restricted,13510
64,377T,BME,DESIGN OF ARTIFICIAL ORGANS,MWF,12:00 p.m.-1:00 p.m.,"ELBERT, D",CMA 3.114,closed,13515
65,377T,BME,INTRODUCTION TO POLYMERS,WF,9:00 a.m.-10:30 a.m.,"PEPPAS, N",CPE 2.222,waitlisted; restricted,13518
66,377T,BME,POLYMER/BIOCONJUGATE CHEM,TTH,11:00 a.m.-12:30 p.m.,COSGRIFF-HERNANDEZ,GDC 2.410,waitlisted; restricted,13519
67,678A,BME,UNDERGRAD THESIS BIOMED ENGR,,,,,open; restricted,13520
68,678B,BME,UNDERGRAD THESIS BIOMED ENGR,,,,,open; restricted,13525
69,679HA,BME,UNDERGRADUATE HONORS THESIS,,,,,open; restricted,13530
70,679HB,BME,UNDERGRADUATE HONORS THESIS,,,,,open; restricted,13535
71,,,,,,,,,
72,302,E E,INTRO ELECTRICAL ENGINEERING,MW|TH,9:00 a.m.-10:30 a.m.|9:00 a.m.-11:00 a.m.,"LEE, J",ECJ 1.214|EER 1.826,waitlisted; restricted,15180
73,302,E E,INTRO ELECTRICAL ENGINEERING,MW|F,9:00 a.m.-10:30 a.m.|12:00 p.m.-2:00 p.m.,"LEE, J",ECJ 1.214|EER 1.826,open; restricted,15185
74,302,E E,INTRO ELECTRICAL ENGINEERING,MW|F,9:00 a.m.-10:30 a.m.|10:00 a.m.-12:00 p.m.,"LEE, J",ECJ 1.214|EER 1.826,open; restricted,15189
75,306,E E,INTRODUCTION TO COMPUTING,MW|F,10:30 a.m.-12:00 p.m.|9:00 a.m.-10:00 a.m.,"TELANG, N",BUR 134|ECJ 1.304,open; restricted,15190
76,306,E E,INTRODUCTION TO COMPUTING,MW|F,10:30 a.m.-12:00 p.m.|10:00 a.m.-11:00 a.m.,"TELANG, N",BUR 134|ECJ 1.304,open; restricted,15195
77,306,E E,INTRODUCTION TO COMPUTING,MW|F,10:30 a.m.-12:00 p.m.|11:00 a.m.-12:00 p.m.,"TELANG, N",BUR 134|ECJ 1.304,open; restricted,15200
78,107S,E E,ENHANCING ACADEMIC SUCCESS,MW,3:00 p.m.-4:00 p.m.,"TELANG, N",EER 1.518,open; restricted,15202
79,107S,E E,FIRST-YEAR DESIGN,T,7:00 p.m.-8:00 p.m.,"MCDERMOTT, M",EER 1.516,open; restricted,15203
80,411,E E,CIRCUIT THEORY,TTH|W,12:30 p.m.-2:00 p.m.|12:00 p.m.-2:00 p.m.,"CUEVAS, A",CPE 2.218|ECJ 1.306,open; restricted,15205
81,411,E E,CIRCUIT THEORY,TTH|W,12:30 p.m.-2:00 p.m.|2:00 p.m.-4:00 p.m.,"CUEVAS, A",CPE 2.218|ETC 2.132,open; restricted,15210
82,411,E E,CIRCUIT THEORY,TTH|W,12:30 p.m.-2:00 p.m.|4:00 p.m.-6:00 p.m.,"CUEVAS, A",CPE 2.218|EER 1.512,open; restricted,15215
83,411,E E,CIRCUIT THEORY,MW|T,5:00 p.m.-6:30 p.m.|10:00 a.m.-12:00 p.m.,"SWARTZLANDER, E",ECJ 1.204|ECJ 1.304,waitlisted; restricted,15220
84,411,E E,CIRCUIT THEORY,MW|T,5:00 p.m.-6:30 p.m.|12:00 p.m.-2:00 p.m.,"SWARTZLANDER, E",ECJ 1.204|ECJ 1.304,waitlisted; restricted,15225
85,411,E E,CIRCUIT THEORY,MW|T,5:00 p.m.-6:30 p.m.|2:00 p.m.-4:00 p.m.,"SWARTZLANDER, E",ECJ 1.204|ECJ 1.304,closed,15230
